year,month,VI,t_mean,runoff,pet,aet,gwr,runoff_2,delta_reservoir
2010,1,32.4,-7.7,19.3,1.5,1.5,8.9,0,2.7
2010,2,19.1,-6,3,4.5,4.5,8.1,0,3.6
2010,3,88.1,0.7,28.8,18.7,18.7,13.7,0,26.8
2010,4,72.3,7.4,13.9,50.3,50.3,15.3,0,-7.2
2010,5,49.3,13.4,2,92.5,84.8,6.5,0,-43.9
2010,6,117.3,16.7,31.1,113,87.8,0.5,0,-2
2010,7,99.1,21.3,17,137.1,95.6,0.4,0,-13.9
2010,8,59.5,19.1,3.6,109.3,64,0.1,0,-8.2
2010,9,188.9,14.8,64.9,68.2,61.7,2.9,0,59.3
2010,10,97.3,6.8,39,29.5,29.5,12.8,0,16
2010,11,93.8,0.6,37.4,9.3,9.3,21.2,0,25.9
2010,12,55.8,-7.1,31,1.8,1.8,23.2,0,-0.1
2011,1,13.2,-11.1,3.2,0.7,0.7,16,0,-6.7
2011,2,7.1,-10.4,0.3,1.1,1.1,9.1,0,-3.4
2011,3,66.2,-4,30.2,8.5,8.5,12.6,8.9,10.3
2011,4,352.8,4.1,197,37.4,37.4,34.6,48.5,40.8
2011,5,148.6,11.8,40.7,84.7,84.7,36.1,16.9,-23.1
2011,6,114.7,17.2,38.4,115.6,114.5,8.2,3,-46.5
2011,7,153.2,20.5,47.2,132.5,100.9,1.9,8.1,2.5
2011,8,193.6,19.1,61.8,109.5,108,4,15.2,12.9
2011,9,115,15.6,35.4,70.4,70,7.5,15.3,-4.9
2011,10,93.6,8.5,33.4,33.7,33.7,8.8,13.7,9.3
2011,11,58.8,3.7,11.7,13.9,13.9,9.8,9.1,16.9
2011,12,59.6,-5.2,28.8,2.8,2.8,18.7,8.9,0.8
2012,1,1,-10.5,0,1,1,12.3,0.2,-12.5
2012,2,3.4,-7.8,0,2.9,2.9,7,0.5,-6.6
2012,3,229.1,0,141.5,18.6,18.6,15.7,31.9,23.1
2012,4,87.2,5.4,27.2,42.9,42.9,16.1,10.6,-5.4
2012,5,108.5,13.9,20.9,95.6,95.6,11,11.7,-21.7
2012,6,117.5,18,43.4,119.7,96.5,3.1,6.8,-28.5
2012,7,62.6,20,2.4,130,75,0.2,0,-15
2012,8,89.2,20.1,12.4,113.1,80.2,1,0,-4.4
2012,9,99.6,14.4,49,66.3,40.1,0.1,0,10.5
2012,10,129.6,9,46.7,33.7,33.7,5.9,2.4,43.2
2012,11,16,-1,0,7.5,7.5,9,0.3,-0.7
2012,12,26.5,-6,7.7,2.5,2.5,10,3.8,3.9
2013,1,31.4,-11.5,4.6,2.1,2.1,9.5,5.6,10.1
2013,2,14.4,-8.4,5.5,2.9,2.9,9.6,1.9,-5.1
2013,3,86.8,-1.2,43.1,14.1,14.1,11.2,13.2,7.1
2013,4,204.3,4.4,105.9,39.4,39.4,27.9,28.4,5.4
2013,5,173.6,13.3,64.5,91.7,91.7,14.2,18.2,-8.4
2013,6,108.4,15.7,14,107.5,107.5,11.7,8.9,-28
2013,7,93.2,20.2,9.3,131.6,107.8,1.4,0.2,-25.4
2013,8,96.5,18.3,3.9,105.5,89.3,0.3,0.1,3
2013,9,109.6,13.4,41.7,63,59.9,1.2,3.7,6
2013,10,87.9,8.6,22.8,34.4,29.9,2.3,7.1,28.8
2013,11,42.9,-0.3,12.6,8.9,8.9,8.1,6.5,8.2
2013,12,3.2,-11.1,0,1,1,8.1,0.5,-6.2
2014,1,11.8,-11.9,0.4,1.9,1.9,7.2,2.6,-0.1
2014,2,1.2,-11.3,0,1.2,1.2,5,0.1,-5
2014,3,6.1,-9.6,0,4,4,3.9,0.9,-2.1
2014,4,430.3,3.7,268.4,36,36,20.6,59.1,51.4
2014,5,66,12.7,2.4,89.2,89.2,21.5,3.6,-48.4
2014,6,146,17.8,73,118.8,97.7,2.6,11.9,-29.1
2014,7,85.3,19.6,6.4,128.3,69.2,0.4,0,9.3
2014,8,111.4,18.4,41.3,106.3,81.8,0.7,0.1,-12.4
2014,9,75.4,13.8,3.5,64.8,64.8,1.6,0,5.5
2014,10,109.3,9.2,31.8,35.4,35.3,5.8,2.2,35.6
2014,11,62.8,-0.3,18.5,8.2,8.2,14.2,8.8,15.2
2014,12,51.7,-5.4,24.5,2.9,2.9,15,8.1,1.9
2015,1,0,-14.4,0,0.2,0.2,13.5,0,-13.7
2015,2,0,-17.6,0,0,0,7.4,0,-7.4
2015,3,13.2,-7,0.4,3.8,3.8,7,2,0.3
2015,4,270.4,3.6,152,36.8,36.8,22,38.6,25.4
2015,5,120.2,14.2,28.9,96.5,96.5,13,15.7,-22
2015,6,117.5,15.9,24.5,108.7,105.5,6.7,8.8,-23.9
2015,7,86,19.5,5,127.2,101.4,1.4,1.6,-21.9
2015,8,122.4,19.9,27.3,112.7,93.1,0.8,3.7,1.1
2015,9,116,16.9,49.1,75.7,50.6,0.6,4.1,15.6
2015,10,98.5,5.9,30.1,27.1,26.4,4,11.3,29.4
2015,11,63.6,2.8,13.8,13.1,13.1,13.8,9.3,15.2
2015,12,109.7,-0.3,37.7,6.7,6.7,29.3,16.9,20.1
2016,1,21.1,-8.3,6.8,1.4,1.4,25.7,3.7,-16.1
2016,2,8.1,-8.5,0.4,2.1,2.1,15.8,1.4,-11.5
2016,3,128.4,-3.4,68.6,11.5,11.5,16.1,19.5,14.4
2016,4,220.5,1.9,123.6,30.4,30.4,33.7,29.8,6.1
2016,5,96.8,12.6,29.1,89.4,89.4,16.1,9.7,-39.3
2016,6,132.4,17.4,38.6,116.4,106.3,5.5,15.5,-24.5
2016,7,160.1,19.5,32.8,127.4,119.2,4.1,16.2,0.7
2016,8,116.8,20.2,14.6,113.5,96.5,1.8,1.9,4
2016,9,60.5,15,11.4,68.4,58.2,0.7,0.2,-9.7
2016,10,190.2,7.9,92.1,32.1,26.6,5,20,50.4
2016,11,79.4,3,17.5,12.7,12.7,19.8,12.7,18.8
2016,12,21.7,-7,8.1,1.8,1.8,23.1,3.6,-14.7
2017,1,10,-7.1,1.1,2.2,2.2,13.8,2,-9
2017,2,53.8,-7.2,25.2,3.7,3.7,9.4,9.1,7.1
2017,3,54.5,-6.4,19.5,6.9,6.9,17.8,8.3,2.9
2017,4,421,5.6,253.4,43.8,43.8,41,57.2,32.3
2017,5,135.2,11.7,31.7,84.3,84.3,39.2,14.7,-28.4
2017,6,122.6,17.4,20.1,116.9,116.7,10.3,9.9,-26.2
2017,7,64.6,19.1,1.2,125.6,101.1,2.3,0.2,-40.2
2017,8,94.8,17.8,8.8,103.8,87.8,0.5,0,-2.3
2017,9,69.6,16.6,13.9,73.3,51.5,0.5,0,3.8
2017,10,156,11.4,63.7,40.3,40.2,3,8.7,44.4
2017,11,0,-0.6,0,7,7,5.7,0,-12.7
2017,12,19,-11.3,6.9,1.7,1.7,5.3,2.9,3.8
